schid;stuid;ses;meanses;homework;white;parented;public;ratio;percmin;math;sex;race;sctype;scsize;urban;region;schnum
7472;3;-0.129999995;-0.482608706;1;1;2;1;19;0;48;2;4;1;3;2;2;1
7472;8;-0.389999986;-0.482608706;0;1;2;1;19;0;48;1;4;1;3;2;2;1
7472;13;-0.800000012;-0.482608706;0;1;2;1;19;0;53;1;4;1;3;2;2;1
7472;17;-0.720000029;-0.482608706;1;1;2;1;19;0;42;1;4;1;3;2;2;1
7472;27;-0.74000001;-0.482608706;2;1;2;1;19;0;43;2;4;1;3;2;2;1
7472;28;-0.579999983;-0.482608706;1;1;2;1;19;0;57;2;4;1;3;2;2;1
7472;30;-0.829999983;-0.482608706;5;1;2;1;19;0;33;2;4;1;3;2;2;1
7472;36;-0.50999999;-0.482608706;1;1;3;1;19;0;64;1;4;1;3;2;2;1
7472;37;-0.560000002;-0.482608706;1;1;2;1;19;0;36;2;4;1;3;2;2;1
7472;42;0.209999993;-0.482608706;2;1;3;1;19;0;56;2;4;1;3;2;2;1
7472;52;-0.699999988;-0.482608706;1;1;2;1;19;0;48;2;4;1;3;2;2;1
7472;53;-0.189999998;-0.482608706;1;1;3;1;19;0;48;1;4;1;3;2;2;1
7472;61;-1.340000033;-0.482608706;1;1;2;1;19;0;44;1;4;1;3;2;2;1
7472;64;-1.580000043;-0.482608706;2;1;1;1;19;0;35;2;4;1;3;2;2;1
7472;72;-0.050000001;-0.482608706;1;1;2;1;19;0;50;2;4;1;3;2;2;1
7472;83;-0.5;-0.482608706;4;1;3;1;19;0;36;2;4;1;3;2;2;1
7472;84;-0.25999999;-0.482608706;1;1;3;1;19;0;47;2;4;1;3;2;2;1
7472;85;-0.939999998;-0.482608706;2;1;1;1;19;0;41;2;4;1;3;2;2;1
7472;88;-0.460000008;-0.482608706;1;1;3;1;19;0;42;2;4;1;3;2;2;1
7472;93;-0.389999986;-0.482608706;1;1;3;1;19;0;49;1;4;1;3;2;2;1
7472;94;0.579999983;-0.482608706;1;1;3;1;19;0;39;2;4;1;3;2;2;1
7472;96;0.479999989;-0.482608706;1;1;3;1;19;0;45;1;4;1;3;2;2;1
7472;99;-0.699999988;-0.482608706;1;1;3;1;19;0;48;2;4;1;3;2;2;1
7829;0;-1.24000001;-0.84799999;2;0;3;1;18;7;58;2;3;1;3;1;2;2
7829;15;-1.539999962;-0.84799999;2;0;2;1;18;7;43;1;3;1;3;1;2;2
7829;17;-1.059999943;-0.84799999;1;0;1;1;18;7;49;1;3;1;3;1;2;2
7829;20;-0.02;-0.84799999;1;0;3;1;18;7;42;1;3;1;3;1;2;2
7829;24;-1.629999995;-0.84799999;5;0;1;1;18;7;35;2;3;1;3;1;2;2
7829;25;-0.389999986;-0.84799999;2;0;2;1;18;7;38;1;3;1;3;1;2;2
7829;29;-1.070000052;-0.84799999;1;0;1;1;18;7;35;1;3;1;3;1;2;2
7829;31;-0.02;-0.84799999;4;0;3;1;18;7;42;1;3;1;3;1;2;2
7829;34;0.109999999;-0.84799999;4;0;4;1;18;7;41;1;3;1;3;1;2;2
7829;38;0.129999995;-0.84799999;3;0;3;1;18;7;31;1;2;1;3;1;2;2
7829;44;-1.669999957;-0.84799999;2;0;1;1;18;7;41;1;3;1;3;1;2;2
7829;54;-1.639999986;-0.84799999;1;0;1;1;18;7;32;2;3;1;3;1;2;2
7829;62;-1.00999999;-0.84799999;0;0;3;1;18;7;65;1;3;1;3;1;2;2
7829;65;-1.00999999;-0.84799999;1;0;3;1;18;7;50;2;3;1;3;1;2;2
7829;66;-1.159999967;-0.84799999;3;0;1;1;18;7;37;1;3;1;3;1;2;2
7829;68;-0.289999992;-0.84799999;3;0;3;1;18;7;44;1;3;1;3;1;2;2
7829;81;-1.289999962;-0.84799999;3;0;1;1;18;7;44;2;3;1;3;1;2;2
7829;91;0.029999999;-0.84799999;2;0;3;1;18;7;41;1;3;1;3;1;2;2
7829;93;-1.090000033;-0.84799999;3;0;2;1;18;7;39;2;3;1;3;1;2;2
7829;98;-1.100000024;-0.84799999;4;0;1;1;18;7;36;2;3;1;3;1;2;2
7930;3;0.980000019;0.147083327;4;1;4;1;14;1;65;2;4;1;6;3;2;3
7930;8;0.239999995;0.147083327;3;1;3;1;14;1;62;1;4;1;6;3;2;3
7930;11;0.349999994;0.147083327;1;0;4;1;14;1;44;2;1;1;6;3;2;3
7930;16;0.649999976;0.147083327;4;1;5;1;14;1;63;1;4;1;6;3;2;3
7930;21;-0.029999999;0.147083327;2;1;3;1;14;1;43;2;4;1;6;3;2;3
7930;24;0.389999986;0.147083327;4;1;3;1;14;1;68;2;4;1;6;3;2;3
7930;26;-0.189999998;0.147083327;1;1;3;1;14;1;50;1;4;1;6;3;2;3
7930;34;-0.75999999;0.147083327;2;1;3;1;14;1;57;1;4;1;6;3;2;3
7930;43;-0.109999999;0.147083327;1;1;3;1;14;1;53;2;4;1;6;3;2;3
7930;52;1.210000038;0.147083327;1;1;6;1;14;1;48;1;4;1;6;3;2;3
7930;53;-1.850000024;0.147083327;2;0;1;1;14;1;53;2;1;1;6;3;2;3
7930;57;-0.899999976;0.147083327;1;1;2;1;14;1;47;1;4;1;6;3;2;3
7930;59;-0.870000005;0.147083327;0;1;2;1;14;1;36;1;4;1;6;3;2;3
7930;61;1.330000043;0.147083327;1;1;5;1;14;1;52;2;4;1;6;3;2;3
7930;63;1.480000019;0.147083327;3;1;6;1;14;1;70;2;4;1;6;3;2;3
7930;64;-0.75999999;0.147083327;2;0;3;1;14;1;51;2;1;1;6;3;2;3
7930;65;0.629999995;0.147083327;2;1;3;1;14;1;67;1;4;1;6;3;2;3
7930;68;-0.119999997;0.147083327;1;1;2;1;14;1;44;1;4;1;6;3;2;3
7930;71;0.029999999;0.147083327;3;1;3;1;14;1;70;1;4;1;6;3;2;3
7930;73;-0.119999997;0.147083327;1;1;3;1;14;1;33;2;4;1;6;3;2;3
7930;81;1.049999952;0.147083327;2;1;5;1;14;1;70;2;4;1;6;3;2;3
7930;83;0.289999992;0.147083327;1;1;3;1;14;1;54;2;4;1;6;3;2;3
7930;90;-0.340000004;0.147083327;1;1;2;1;14;1;37;1;4;1;6;3;2;3
7930;97;0.949999988;0.147083327;1;1;5;1;14;1;41;2;4;1;6;3;2;3
24725;1;-1.669999957;-0.700909078;1;1;2;1;18;0;31;1;4;1;2;3;3;4
24725;5;-0.519999981;-0.700909078;0;1;2;1;18;0;39;1;4;1;2;3;3;4
24725;6;-0.449999988;-0.700909078;1;1;2;1;18;0;48;2;4;1;2;3;3;4
24725;7;-1.100000024;-0.700909078;1;1;1;1;18;0;34;1;4;1;2;3;3;4
24725;9;-2.039999962;-0.700909078;0;1;1;1;18;0;33;1;4;1;2;3;3;4
24725;10;0.059999999;-0.700909078;1;1;3;1;18;0;47;1;4;1;2;3;3;4
24725;13;-0.07;-0.700909078;0;1;3;1;18;0;40;2;4;1;2;3;3;4
24725;14;-1.210000038;-0.700909078;1;1;1;1;18;0;31;2;4;1;2;3;3;4
24725;16;-1.960000038;-0.700909078;2;1;1;1;18;0;36;1;4;1;2;3;3;4
24725;28;-0.379999995;-0.700909078;1;1;2;1;18;0;37;2;4;1;2;3;3;4
24725;30;-0.479999989;-0.700909078;5;1;3;1;18;0;62;2;4;1;2;3;3;4
24725;31;-1.049999952;-0.700909078;1;1;2;1;18;0;41;1;4;1;2;3;3;4
24725;37;-1.539999962;-0.700909078;1;1;2;1;18;0;41;2;4;1;2;3;3;4
24725;39;-0.140000001;-0.700909078;1;1;2;1;18;0;37;2;4;1;2;3;3;4
24725;51;0.920000017;-0.700909078;1;1;5;1;18;0;43;2;4;1;2;3;3;4
24725;54;-1.279999971;-0.700909078;2;1;1;1;18;0;40;2;4;1;2;3;3;4
24725;65;-1.309999943;-0.700909078;1;1;1;1;18;0;42;1;4;1;2;3;3;4
24725;68;-0.02;-0.700909078;5;1;3;1;18;0;64;1;4;1;2;3;3;4
24725;78;-0.600000024;-0.700909078;4;1;2;1;18;0;54;2;4;1;2;3;3;4
24725;85;-0.129999995;-0.700909078;4;1;3;1;18;0;65;1;4;1;2;3;3;4
24725;88;-0.189999998;-0.700909078;1;0;2;1;18;0;45;1;2;1;2;3;3;4
24725;89;-0.25999999;-0.700909078;2;1;3;1;18;0;48;1;4;1;2;3;3;4
25456;1;0.439999998;-0.196818173;0;1;3;1;12;1;62;2;4;1;2;3;3;5
25456;4;-0.75;-0.196818173;2;1;3;1;12;1;33;2;4;1;2;3;3;5
25456;9;-0.889999986;-0.196818173;1;1;2;1;12;1;53;2;4;1;2;3;3;5
25456;13;0.479999989;-0.196818173;1;1;4;1;12;1;43;1;4;1;2;3;3;5
25456;19;-0.189999998;-0.196818173;0;1;3;1;12;1;54;2;4;1;2;3;3;5
25456;20;-0.200000003;-0.196818173;0;1;3;1;12;1;60;1;4;1;2;3;3;5
25456;29;0.050000001;-0.196818173;2;1;3;1;12;1;58;1;4;1;2;3;3;5
25456;48;-0.430000007;-0.196818173;2;1;3;1;12;1;49;2;4;1;2;3;3;5
25456;51;-0.140000001;-0.196818173;0;1;3;1;12;1;49;2;4;1;2;3;3;5
25456;60;0.300000012;-0.196818173;1;1;3;1;12;1;53;1;4;1;2;3;3;5
25456;61;-0.49000001;-0.196818173;1;1;3;1;12;1;56;1;4;1;2;3;3;5
25456;65;-0.709999979;-0.196818173;1;1;3;1;12;1;58;1;4;1;2;3;3;5
25456;66;-0.209999993;-0.196818173;0;1;3;1;12;1;46;1;4;1;2;3;3;5
25456;67;-0.209999993;-0.196818173;2;1;2;1;12;1;32;1;4;1;2;3;3;5
25456;68;1.080000043;-0.196818173;0;1;5;1;12;1;60;2;4;1;2;3;3;5
25456;69;-1.289999962;-0.196818173;1;1;2;1;12;1;48;1;4;1;2;3;3;5
25456;74;0.219999999;-0.196818173;1;1;3;1;12;1;47;1;4;1;2;3;3;5
25456;76;-0.560000002;-0.196818173;0;1;3;1;12;1;52;2;4;1;2;3;3;5
25456;78;-0.529999971;-0.196818173;1;1;1;1;12;1;42;1;4;1;2;3;3;5
25456;84;0.230000004;-0.196818173;1;1;3;1;12;1;58;1;4;1;2;3;3;5
25456;97;-0.670000017;-0.196818173;0;1;1;1;12;1;41;2;4;1;2;3;3;5
25456;99;0.140000001;-0.196818173;2;1;3;1;12;1;43;2;4;1;2;3;3;5
25642;7;-0.059999999;-1.068500042;1;0;3;1;11;6;42;1;2;1;4;1;3;6
25642;9;-2.079999924;-1.068500042;1;0;1;1;11;6;46;2;2;1;4;1;3;6
25642;24;-1.25;-1.068500042;1;0;3;1;11;6;43;2;2;1;4;1;3;6
25642;33;-0.860000014;-1.068500042;1;0;1;1;11;6;46;2;2;1;4;1;3;6
25642;36;-0.899999976;-1.068500042;1;0;1;1;11;6;47;1;2;1;4;1;3;6
25642;37;-2.410000086;-1.068500042;1;0;1;1;11;6;49;2;2;1;4;1;3;6
25642;42;0.180000007;-1.068500042;2;0;3;1;11;6;47;2;2;1;4;1;3;6
25642;44;-1.409999967;-1.068500042;1;0;1;1;11;6;44;2;2;1;4;1;3;6
25642;45;-1.049999952;-1.068500042;3;0;1;1;11;6;39;2;2;1;4;1;3;6
25642;57;-1.350000024;-1.068500042;1;1;3;1;11;6;41;1;4;1;4;1;3;6
25642;59;-1.110000014;-1.068500042;0;0;2;1;11;6;51;2;2;1;4;1;3;6
25642;63;-1.350000024;-1.068500042;0;0;1;1;11;6;45;1;2;1;4;1;3;6
25642;67;-0.529999971;-1.068500042;0;0;3;1;11;6;57;1;2;1;4;1;3;6
25642;73;-1.289999962;-1.068500042;1;0;2;1;11;6;47;1;2;1;4;1;3;6
25642;76;-1.919999957;-1.068500042;2;0;1;1;11;6;42;1;2;1;4;1;3;6
25642;80;-0.970000029;-1.068500042;1;0;3;1;11;6;47;2;2;1;4;1;3;6
25642;83;-0.330000013;-1.068500042;3;0;3;1;11;6;47;2;2;1;4;1;3;6
25642;84;-0.150000006;-1.068500042;1;0;2;1;11;6;51;2;2;1;4;1;3;6
25642;86;-2.230000019;-1.068500042;1;0;1;1;11;6;53;2;2;1;4;1;3;6
25642;95;-0.300000012;-1.068500042;1;0;3;1;11;6;44;1;2;1;4;1;3;6
62821;0;1.629999995;1.044626832;4;1;6;0;10;3;62;1;4;4;3;1;2;7
62821;1;0.479999989;1.044626832;5;1;4;0;10;3;68;2;4;4;3;1;2;7
62821;3;0.689999998;1.044626832;5;1;5;0;10;3;56;1;4;4;3;1;2;7
62821;4;0.600000024;1.044626832;5;1;4;0;10;3;68;2;4;4;3;1;2;7
62821;6;0.769999981;1.044626832;2;1;4;0;10;3;61;2;4;4;3;1;2;7
62821;7;1.190000057;1.044626832;2;1;5;0;10;3;61;2;4;4;3;1;2;7
62821;9;1.169999957;1.044626832;3;1;5;0;10;3;62;2;4;4;3;1;2;7
62821;11;1.120000005;1.044626832;1;1;6;0;10;3;60;2;4;4;3;1;2;7
62821;12;1.850000024;1.044626832;2;1;6;0;10;3;68;2;4;4;3;1;2;7
62821;13;0.75;1.044626832;0;1;4;0;10;3;63;1;4;4;3;1;2;7
62821;14;1;1.044626832;5;1;4;0;10;3;71;1;4;4;3;1;2;7
62821;16;1.799999952;1.044626832;1;1;6;0;10;3;61;1;4;4;3;1;2;7
62821;17;1.429999948;1.044626832;2;1;5;0;10;3;60;1;4;4;3;1;2;7
62821;18;-0.119999997;1.044626832;5;0;4;0;10;3;69;2;1;4;3;1;2;7
62821;19;0.980000019;1.044626832;6;0;5;0;10;3;70;2;3;4;3;1;2;7
62821;20;1;1.044626832;1;1;4;0;10;3;66;1;4;4;3;1;2;7
62821;22;1.230000019;1.044626832;2;1;5;0;10;3;63;1;4;4;3;1;2;7
62821;25;0.860000014;1.044626832;1;1;4;0;10;3;63;2;4;4;3;1;2;7
62821;26;0.180000007;1.044626832;2;1;4;0;10;3;67;2;4;4;3;1;2;7
62821;27;1.480000019;1.044626832;5;1;6;0;10;3;62;2;4;4;3;1;2;7
62821;28;1.25;1.044626832;4;1;5;0;10;3;51;2;4;4;3;1;2;7
62821;29;1.179999948;1.044626832;4;1;5;0;10;3;64;1;4;4;3;1;2;7
62821;30;0.639999986;1.044626832;1;1;5;0;10;3;57;2;4;4;3;1;2;7
62821;31;1.129999995;1.044626832;4;1;4;0;10;3;67;1;4;4;3;1;2;7
62821;32;1.820000052;1.044626832;1;1;6;0;10;3;57;1;4;4;3;1;2;7
62821;34;1.340000033;1.044626832;4;1;6;0;10;3;69;2;4;4;3;1;2;7
62821;35;0.680000007;1.044626832;1;1;4;0;10;3;54;1;4;4;3;1;2;7
62821;39;1.110000014;1.044626832;5;1;4;0;10;3;69;2;4;4;3;1;2;7
62821;40;1.399999976;1.044626832;5;1;5;0;10;3;63;2;4;4;3;1;2;7
62821;41;0.790000021;1.044626832;1;1;6;0;10;3;43;2;4;4;3;1;2;7
62821;42;1.610000014;1.044626832;5;1;6;0;10;3;60;2;4;4;3;1;2;7
62821;43;1.029999971;1.044626832;4;1;5;0;10;3;71;1;4;4;3;1;2;7
62821;44;1.379999995;1.044626832;0;1;5;0;10;3;63;1;4;4;3;1;2;7
62821;46;1.279999971;1.044626832;2;1;6;0;10;3;56;1;4;4;3;1;2;7
62821;47;0.560000002;1.044626832;5;1;4;0;10;3;65;2;4;4;3;1;2;7
62821;48;1.029999971;1.044626832;4;1;5;0;10;3;69;1;4;4;3;1;2;7
62821;49;1.299999952;1.044626832;2;1;5;0;10;3;61;2;4;4;3;1;2;7
62821;54;1.230000019;1.044626832;5;1;6;0;10;3;70;2;4;4;3;1;2;7
62821;56;1.419999957;1.044626832;1;1;6;0;10;3;56;1;4;4;3;1;2;7
62821;57;1.00999999;1.044626832;3;1;5;0;10;3;61;1;4;4;3;1;2;7
62821;60;1.320000052;1.044626832;4;1;6;0;10;3;60;1;4;4;3;1;2;7
62821;61;0.970000029;1.044626832;3;1;5;0;10;3;65;2;4;4;3;1;2;7
62821;63;1.309999943;1.044626832;4;1;4;0;10;3;64;1;4;4;3;1;2;7
62821;64;0.090000004;1.044626832;7;1;3;0;10;3;65;1;4;4;3;1;2;7
62821;65;1.480000019;1.044626832;5;1;5;0;10;3;70;1;4;4;3;1;2;7
62821;66;-0.349999994;1.044626832;1;0;3;0;10;3;67;1;1;4;3;1;2;7
62821;68;0.400000006;1.044626832;1;1;3;0;10;3;63;2;4;4;3;1;2;7
62821;69;0.860000014;1.044626832;3;1;5;0;10;3;63;1;4;4;3;1;2;7
62821;70;0.850000024;1.044626832;4;1;4;0;10;3;64;1;4;4;3;1;2;7
62821;71;1.090000033;1.044626832;3;0;5;0;10;3;56;1;1;4;3;1;2;7
62821;72;1;1.044626832;3;1;4;0;10;3;63;2;4;4;3;1;2;7
62821;73;0.25999999;1.044626832;1;1;3;0;10;3;67;2;4;4;3;1;2;7
62821;75;0.980000019;1.044626832;4;0;5;0;10;3;54;1;1;4;3;1;2;7
62821;76;1.5;1.044626832;5;1;6;0;10;3;55;1;4;4;3;1;2;7
62821;77;0.930000007;1.044626832;3;1;5;0;10;3;67;1;4;4;3;1;2;7
62821;78;1.019999981;1.044626832;1;0;6;0;10;3;58;2;1;4;3;1;2;7
62821;80;1.549999952;1.044626832;5;1;6;0;10;3;57;1;4;4;3;1;2;7
62821;81;1.25999999;1.044626832;4;0;6;0;10;3;63;1;2;4;3;1;2;7
62821;82;1.679999948;1.044626832;6;1;6;0;10;3;67;2;4;4;3;1;2;7
62821;83;1.340000033;1.044626832;3;1;6;0;10;3;70;2;4;4;3;1;2;7
62821;86;1.049999952;1.044626832;5;1;5;0;10;3;69;1;4;4;3;1;2;7
62821;91;1.799999952;1.044626832;5;1;6;0;10;3;68;2;4;4;3;1;2;7
62821;92;0.680000007;1.044626832;5;1;4;0;10;3;52;1;4;4;3;1;2;7
62821;94;0.230000004;1.044626832;5;1;3;0;10;3;63;1;4;4;3;1;2;7
62821;95;1.220000029;1.044626832;2;1;6;0;10;3;55;2;4;4;3;1;2;7
62821;96;1.00999999;1.044626832;5;1;5;0;10;3;69;1;4;4;3;1;2;7
62821;99;1.179999948;1.044626832;4;1;5;0;10;3;68;1;4;4;3;1;2;7
68448;1;0.810000002;-0.17095238;3;0;4;1;14;5;69;1;2;1;6;1;3;8
68448;6;-0.709999979;-0.17095238;1;0;3;1;14;5;46;1;3;1;6;1;3;8
68448;16;-0.540000021;-0.17095238;2;0;1;1;14;5;46;2;3;1;6;1;3;8
68448;18;0.01;-0.17095238;1;1;3;1;14;5;44;1;4;1;6;1;3;8
68448;19;0.899999976;-0.17095238;4;1;5;1;14;5;65;2;4;1;6;1;3;8
68448;20;0.970000029;-0.17095238;1;1;5;1;14;5;52;1;4;1;6;1;3;8
68448;21;-0.140000001;-0.17095238;1;1;3;1;14;5;40;1;4;1;6;1;3;8
68448;26;-0.129999995;-0.17095238;2;0;3;1;14;5;54;2;3;1;6;1;3;8
68448;36;-0.879999995;-0.17095238;3;1;3;1;14;5;58;1;4;1;6;1;3;8
68448;38;1.549999952;-0.17095238;2;1;6;1;14;5;53;2;4;1;6;1;3;8
68448;43;0.860000014;-0.17095238;3;1;6;1;14;5;62;2;4;1;6;1;3;8
68448;49;-0.550000012;-0.17095238;1;0;2;1;14;5;40;1;3;1;6;1;3;8
68448;50;-0.02;-0.17095238;2;0;3;1;14;5;34;2;3;1;6;1;3;8
68448;51;-0.689999998;-0.17095238;1;0;3;1;14;5;41;2;3;1;6;1;3;8
68448;53;0.180000007;-0.17095238;2;0;3;1;14;5;46;1;3;1;6;1;3;8
68448;63;-0.920000017;-0.17095238;1;1;3;1;14;5;41;1;4;1;6;1;3;8
68448;68;-2.039999962;-0.17095238;2;0;1;1;14;5;60;1;3;1;6;1;3;8
68448;79;-0.99000001;-0.17095238;3;0;2;1;14;5;50;2;3;1;6;1;3;8
68448;81;-1.960000038;-0.17095238;1;0;1;1;14;5;35;2;3;1;6;1;3;8
68448;89;1.049999952;-0.17095238;5;1;5;1;14;5;65;2;4;1;6;1;3;8
68448;96;-0.349999994;-0.17095238;3;0;3;1;14;5;42;2;3;1;6;1;3;8
68493;0;0.75999999;-0.462857157;1;1;4;1;22;5;48;2;4;1;2;3;3;9
68493;7;-1.120000005;-0.462857157;1;0;2;1;22;5;45;1;3;1;2;3;3;9
68493;8;0.289999992;-0.462857157;2;1;3;1;22;5;48;1;4;1;2;3;3;9
68493;14;-0.99000001;-0.462857157;4;0;2;1;22;5;62;2;3;1;2;3;3;9
68493;17;-0.49000001;-0.462857157;0;0;4;1;22;5;43;1;3;1;2;3;3;9
68493;20;-0.319999993;-0.462857157;1;1;2;1;22;5;56;2;4;1;2;3;3;9
68493;29;-0.289999992;-0.462857157;2;1;2;1;22;5;40;2;4;1;2;3;3;9
68493;36;-1.419999957;-0.462857157;1;0;2;1;22;5;37;1;3;1;2;3;3;9
68493;39;-2.039999962;-0.462857157;1;0;1;1;22;5;34;2;3;1;2;3;3;9
68493;47;-1.100000024;-0.462857157;1;0;1;1;22;5;38;1;3;1;2;3;3;9
68493;50;1.25;-0.462857157;1;1;5;1;22;5;40;1;4;1;2;3;3;9
68493;53;-0.560000002;-0.462857157;2;1;2;1;22;5;37;2;4;1;2;3;3;9
68493;59;0.709999979;-0.462857157;1;1;4;1;22;5;56;1;4;1;2;3;3;9
68493;61;-1.330000043;-0.462857157;1;0;1;1;22;5;41;2;3;1;2;3;3;9
68493;66;-0.119999997;-0.462857157;3;1;3;1;22;5;71;1;4;1;2;3;3;9
68493;68;-0.689999998;-0.462857157;0;1;1;1;22;5;48;2;4;1;2;3;3;9
68493;74;-0.660000026;-0.462857157;1;1;2;1;22;5;42;1;4;1;2;3;3;9
68493;82;-1.179999948;-0.462857157;1;0;1;1;22;5;41;2;3;1;2;3;3;9
68493;88;0.819999993;-0.462857157;2;1;6;1;22;5;60;1;4;1;2;3;3;9
68493;89;-0.850000024;-0.462857157;1;0;2;1;22;5;42;2;3;1;2;3;3;9
68493;92;-0.389999986;-0.462857157;1;1;2;1;22;5;44;2;4;1;2;3;3;9
72292;2;-0.860000014;-0.504500031;5;1;2;1;17;1;68;2;4;1;2;1;1;10
72292;17;-0.409999996;-0.504500031;3;1;3;1;17;1;50;1;4;1;2;1;1;10
72292;44;-0.439999998;-0.504500031;1;1;2;1;17;1;43;2;4;1;2;1;1;10
72292;49;-0.189999998;-0.504500031;2;1;3;1;17;1;44;2;4;1;2;1;1;10
72292;52;-1.029999971;-0.504500031;0;1;2;1;17;1;37;1;4;1;2;1;1;10
72292;53;0.029999999;-0.504500031;4;1;4;1;17;1;67;1;4;1;2;1;1;10
72292;56;-0.720000029;-0.504500031;1;1;3;1;17;1;37;1;4;1;2;1;1;10
72292;63;-1.279999971;-0.504500031;2;1;1;1;17;1;43;2;4;1;2;1;1;10
72292;67;-0.839999974;-0.504500031;0;1;2;1;17;1;36;2;4;1;2;1;1;10
72292;68;-0.49000001;-0.504500031;0;1;2;1;17;1;37;1;4;1;2;1;1;10
72292;71;-0.670000017;-0.504500031;2;1;2;1;17;1;62;1;4;1;2;1;1;10
72292;76;0.090000004;-0.504500031;3;1;3;1;17;1;64;2;4;1;2;1;1;10
72292;77;-0.189999998;-0.504500031;3;1;4;1;17;1;64;1;4;1;2;1;1;10
72292;82;-0.159999996;-0.504500031;1;1;3;1;17;1;37;1;4;1;2;1;1;10
72292;85;-0.560000002;-0.504500031;0;1;3;1;17;1;46;2;4;1;2;1;1;10
72292;89;-0.230000004;-0.504500031;2;1;3;1;17;1;43;1;4;1;2;1;1;10
72292;92;-1.110000014;-0.504500031;0;1;1;1;17;1;45;1;4;1;2;1;1;10
72292;97;-0.289999992;-0.504500031;1;1;3;1;17;1;47;1;4;1;2;1;1;10
72292;98;-1.190000057;-0.504500031;1;1;1;1;17;1;34;1;4;1;2;1;1;10
72292;99;0.449999988;-0.504500031;1;1;4;1;17;1;53;2;4;1;2;1;1;10
